0, 0. 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.09;
1, 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.;
2, 0. 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.09;
3, 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.;
4, 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0. 0.091 0.091 0.091 0.09;
5, 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.;
6, 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0. 0.091 0.091 0.091 0.09;
7, 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.;
8, 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0. 0.091 0.09;
9, 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.;
10, 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0. 0.091 0.09;
11, 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.;
12, 0.091 0.091 0.091 0.091 0.091 0.091 0.091 0. 0.091 0.091 0.091 0.09;
13, 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.;
14, 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0833 0.0834 0.0834 0.0834 0.0834;

